,Q1,Q2,Q3,EN,SN,FN,F,SLOPE
0,0.9,0.9,0.81,0.25,0.1,0.03,0.0013,0.0
1,0.9,0.9,0.81,0.25,0.1,0.09,0.0015,799.0196769157251
2,0.9,0.9,2.5600000000000005,0.4,0.2,0.03,0.0013,0.0
3,0.9,1.1,0.81,0.4,0.2,0.03,0.0015,799.0196769157251
4,0.9,1.1,2.5600000000000005,0.25,0.2,0.09,0.0013,799.0196769157251
5,0.9,1.1,2.5600000000000005,0.4,0.1,0.09,0.0015,0.0
6,1.6,0.9,2.5600000000000005,0.4,0.1,0.03,0.0015,799.0196769157251
7,1.6,0.9,2.5600000000000005,0.25,0.2,0.09,0.0015,0.0
8,1.6,0.9,0.81,0.4,0.2,0.09,0.0013,799.0196769157251
9,1.6,1.1,2.5600000000000005,0.25,0.1,0.03,0.0013,799.0196769157251
10,1.6,1.1,0.81,0.4,0.1,0.09,0.0013,0.0
11,1.6,1.1,0.81,0.25,0.2,0.03,0.0015,0.0
